DegreeCentrality,EigenCentrality,Ages,HouseholdSize
0.018018018018018018,0.03412265148595184,50-59,1
0.004004004004004004,0.0070481929861001425,40-49,1
0.01001001001001001,0.02161615105936473,50-59,1
0.011011011011011011,0.03049367495450179,40-49,2
0.01901901901901902,0.042766887029412365,30-39,2
0.012012012012012012,0.023504391762921344,50-59,6
0.016016016016016016,0.025741340980919868,20-29,6
0.008008008008008008,0.008957216388798655,20-29,6
0.01001001001001001,0.022132870265975133,20-29,3
0.013013013013013013,0.025873489700052467,30-39,3
0.015015015015015015,0.02560243874150439,20-29,5
0.01001001001001001,0.01695815033234981,40-49,5
0.007007007007007007,0.004869177146648858,30-39,5
0.01001001001001001,0.022601135247885894,30-39,1
0.01901901901901902,0.023244095313426853,20-29,4
0.016016016016016016,0.03760468644656915,20-29,4
0.012012012012012012,0.031943803203556845,30-39,2
0.012012012012012012,0.03195981401000254,50-59,1
0.018018018018018018,0.03732606376969816,20-29,3
0.009009009009009009,0.018646344284003868,30-39,3
0.007007007007007007,0.012444344861445166,20-29,3
0.018018018018018018,0.05315566609853434,30-39,2
0.012012012012012012,0.01856826590981309,50-59,1
0.005005005005005005,0.019864106627696713,50-59,1
0.013013013013013013,0.022767974728463685,50-59,4
0.014014014014014014,0.03276981766817763,40-49,4
0.007007007007007007,0.005904217747159841,50-59,4
0.014014014014014014,0.02896974315569985,50-59,3
0.016016016016016016,0.030728679437772095,50-59,3
0.014014014014014014,0.021518597025456623,50-59,2
0.012012012012012012,0.034089170665475586,30-39,2
0.009009009009009009,0.02542501217493241,20-29,2
0.01001001001001001,0.016497739142926897,50-59,4
0.01001001001001001,0.013437434368519938,50-59,4
0.011011011011011011,0.019452788608893556,40-49,4
0.006006006006006006,0.012009877907928675,30-39,1
0.011011011011011011,0.02273123367021593,50-59,4
0.009009009009009009,0.01855312631654287,50-59,4
0.017017017017017015,0.031288543421378844,30-39,4
0.007007007007007007,0.017808470489969037,30-39,1
0.008008008008008008,0.02148629015228141,40-49,2
0.012012012012012012,0.022308724101164946,50-59,2
0.008008008008008008,0.015042539774642115,20-29,2
0.006006006006006006,0.01566298769685939,30-39,2
0.012012012012012012,0.032982290856205396,30-39,1
0.009009009009009009,0.024307572508391502,40-49,2
0.008008008008008008,0.01580545223871936,40-49,1
0.008008008008008008,0.01719684449582365,40-49,2
0.011011011011011011,0.023846298870656268,30-39,3
0.015015015015015015,0.03335397795254613,40-49,3
0.011011011011011011,0.021144330156661232,50-59,3
0.008008008008008008,0.01107781632144217,50-59,3
0.008008008008008008,0.017046218651888427,20-29,3
0.003003003003003003,0.002730125829440428,40-49,1
0.009009009009009009,0.01232613920658988,30-39,2
0.005005005005005005,0.005169344567462591,30-39,2
0.014014014014014014,0.0321289167178957,30-39,4
0.02002002002002002,0.0335261048183072,50-59,4
0.005005005005005005,0.0037923471879948703,50-59,4
0.01001001001001001,0.010216672850810425,50-59,2
0.015015015015015015,0.03456741145610034,40-49,4
0.009009009009009009,0.017957136094086903,20-29,4
0.005005005005005005,0.003914175284213432,40-49,3
0.007007007007007007,0.011966760814906205,40-49,3
0.009009009009009009,0.018396670220847865,30-39,4
0.011011011011011011,0.019237901197004317,50-59,4
0.016016016016016016,0.03852021546635179,30-39,4
0.008008008008008008,0.006596565756881539,20-29,3
0.008008008008008008,0.0177051891773627,50-59,3
0.012012012012012012,0.02280122015042898,50-59,2
0.011011011011011011,0.017921213843544215,50-59,4
0.011011011011011011,0.021574007340871528,20-29,4
0.007007007007007007,0.01129333650411608,50-59,4
0.006006006006006006,0.004347737985125493,40-49,4
0.011011011011011011,0.008109988720477,50-59,4
0.015015015015015015,0.03069666566623706,20-29,3
0.007007007007007007,0.017345554943732494,40-49,1
0.004004004004004004,0.008341178055718101,30-39,1
0.012012012012012012,0.03201750544752392,20-29,2
0.016016016016016016,0.024043394436139703,40-49,2
0.009009009009009009,0.014291013041558862,30-39,5
0.014014014014014014,0.009348495943369246,20-29,5
0.014014014014014014,0.02231188685404392,20-29,5
0.008008008008008008,0.013486151607397762,30-39,5
0.012012012012012012,0.024902385946075023,20-29,3
0.01001001001001001,0.017953228525114346,50-59,3
0.006006006006006006,0.0013389405278363764,20-29,2
0.01001001001001001,0.01900824433077295,20-29,3
0.007007007007007007,0.012400694760991836,40-49,3
0.012012012012012012,0.0320877621119161,30-39,2
0.006006006006006006,0.01238050636416151,50-59,1
0.012012012012012012,0.027063680192023543,40-49,2
0.009009009009009009,0.007713130316833764,40-49,5
0.007007007007007007,0.008883653580101295,40-49,5
0.012012012012012012,0.014612625408713074,50-59,5
0.015015015015015015,0.0198970774323001,30-39,5
0.006006006006006006,0.0125585500560906,40-49,3
0.01001001001001001,0.02000025638198402,40-49,1
0.006006006006006006,0.008546528308233674,20-29,1
0.012012012012012012,0.016599531390385835,20-29,6
0.007007007007007007,0.005801251243450357,30-39,6
0.006006006006006006,0.010661411324203564,30-39,1
0.009009009009009009,0.01462882566801552,40-49,3
0.007007007007007007,0.013653037820325334,50-59,3
0.01001001001001001,0.012865408280091157,50-59,4
0.01001001001001001,0.017076642720044048,30-39,4
0.011011011011011011,0.014859604948194945,30-39,6
0.009009009009009009,0.009785310844531004,20-29,6
0.012012012012012012,0.012379536580793668,20-29,6
0.01001001001001001,0.011590371505677375,30-39,6
0.006006006006006006,0.0020137954138897225,40-49,4
0.009009009009009009,0.0059461068645658265,50-59,4
0.009009009009009009,0.016773661335720984,40-49,2
0.001001001001001001,0.001034895792374653,40-49,1
0.007007007007007007,0.015137071993622827,40-49,1
0.009009009009009009,0.021110124992400787,50-59,4
0.011011011011011011,0.020714705427961128,40-49,4
0.011011011011011011,0.01350014761875711,50-59,4
0.012012012012012012,0.025711230552419213,50-59,4
0.005005005005005005,0.009589989242843575,20-29,2
0.002002002002002002,0.005862602020706828,40-49,1
0.005005005005005005,0.018904651658998926,30-39,1
0.004004004004004004,0.008591851129551905,30-39,1
0.004004004004004004,0.0009920058265026174,50-59,2
0.011011011011011011,0.015697955467356424,50-59,3
0.014014014014014014,0.01754729661322936,30-39,3
0.008008008008008008,0.01828829808859933,20-29,3
0.006006006006006006,0.010871251322902807,40-49,2
0.01001001001001001,0.013018203783031762,30-39,2
0.006006006006006006,0.012837732761603519,40-49,1
0.006006006006006006,0.013582623693447187,20-29,1
0.006006006006006006,0.008061825006574326,40-49,4
0.009009009009009009,0.015136417169406068,20-29,4
0.007007007007007007,0.00828659619025835,50-59,4
0.008008008008008008,0.018891252637016107,20-29,1
0.007007007007007007,0.004735764324751907,40-49,5
0.006006006006006006,0.0019792339524328205,50-59,5
0.007007007007007007,0.0012772635940170502,30-39,5
0.007007007007007007,0.01844841361859312,20-29,2
0.006006006006006006,0.002949028205970602,20-29,4
0.005005005005005005,0.0006448203231282661,50-59,4
0.007007007007007007,0.008460467324992373,50-59,4
0.009009009009009009,0.00682770759924985,20-29,4
0.01001001001001001,0.011928049259738034,50-59,5
0.006006006006006006,0.0016356323523009884,50-59,5
0.005005005005005005,0.005731443892679524,40-49,1
0.005005005005005005,0.003592354807011456,20-29,4
